Region;Finess;Libellé;Score RPSA partie  'Qualité' (score RPSA 1.Q);Score SEJ partie  'Qualité' (score SEJ 1.Q);Score R3A partie  'Qualité' (score R3A 1.Q);Score RPSA partie  'Qualité' (score RPSA 1.Q.1);Score SEJ partie  'Qualité' (score SEJ 1.Q.1);Score R3A partie  'Qualité' (score R3A 1.Q.1);Score RPSA partie  'Qualité' (score RPSA 1.Q.2);Score SEJ partie  'Qualité' (score SEJ 1.Q.2);Score RPSA partie  'Qualité' (score RPSA 1.Q.4);Score SEJ partie  'Qualité' (score SEJ 1.Q.4);Score RPSA partie  'Qualité' (score RPSA 1.Q.5);Score SEJ partie  'Qualité' (score SEJ 1.Q.5);Score RPSA partie  'Qualité' (score RPSA 1.Q.6);Score SEJ partie  'Qualité' (score SEJ 1.Q.6);Score R3A partie  'Qualité' (score R3A 1.Q.6);Score RPSA partie  'Qualité' (score RPSA 1.Q.7);Score SEJ partie  'Qualité' (score SEJ 1.Q.7);Score R3A partie  'Qualité' (score R3A 1.Q.7);Score RPSA partie  'Qualité' (score RPSA 1.Q.8);Score SEJ partie  'Qualité' (score SEJ 1.Q.8);Score R3A partie  'Qualité' (score R3A 1.Q.8);Score RPSA partie  'Qualité' (score RPSA 1.Q.9);Score SEJ partie  'Qualité' (score SEJ 1.Q.9);Score R3A partie  'Qualité' (score SEJ 1.Q.11);Score R3A partie  'Qualité' (score SEJ 1.Q.12);
ARS Hauts-de-France;020000386;CLINIQUE LA ROSERAIE;0.4;0.5;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.5;0.0;0.2;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
ARS Hauts-de-France;020004156;CLINIQUE SAINTE MONIQUE;0.2;0.3;0.0;0.0;0.0;0.0;0.2;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
ARS Hauts-de-France;590008579;CLINIQUE MAISON FLEURIE PARC MONCEAU;1.0;0.9;0.0;0.0;0.0;0.0;1.0;0.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
ARS Hauts-de-France;590009148;CLINIQUE ROBERT SCHUMAN;2.8;4.3;0.0;0.0;0.0;0.0;2.8;4.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
ARS Hauts-de-France;590016408;CLINIQUE DU CHATEAU LOOS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
ARS Hauts-de-France;590044665;CLINIQUE FSEF VILLENEUVE D'ASCQ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
ARS Hauts-de-France;590047791;HOPITAL DE JOUR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
ARS Hauts-de-France;590049060;CLINIQUE MARIE SAVOIE;3.6;3.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6;3.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
ARS Hauts-de-France;590056479;CLINIQUE DE L'EPINOY;0.1;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
ARS Hauts-de-France;590067047;CENTRE PSYPRO LILLE;2.0;3.1;0.0;0.0;0.0;0.0;0.9;1.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
